municipi;col;r;c;value;status
Sant Pere de Ribes;Altitud (m);720;3;44;
Sant Pere de Ribes;Superfície (km²);720;4;40,8;
Sant Pere de Ribes;Població;720;5;32613;
Sant Pere de Riudebitlles;Comarca;721;1;Alt Penedès;
Sant Pere de Riudebitlles;Codi;721;2;82325;
Sant Pere de Riudebitlles;Altitud (m);721;3;246;
Sant Pere de Riudebitlles;Superfície (km²);721;4;5,38;
Sant Pere de Riudebitlles;Població;721;5;2512;
Sant Pere de Torelló;Comarca;722;1;Osona;
Sant Pere de Torelló;Codi;722;2;82331;
Sant Pere de Torelló;Altitud (m);722;3;621;
Sant Pere de Torelló;Superfície (km²);722;4;55,13;
Sant Pere de Torelló;Població;722;5;2607;
Sant Pere de Vilamajor;Comarca;723;1;Vallès Oriental;
Sant Pere de Vilamajor;Codi;723;2;82346;
Sant Pere de Vilamajor;Altitud (m);723;3;305;
Sant Pere de Vilamajor;Superfície (km²);723;4;34,72;
Sant Pere de Vilamajor;Població;723;5;5069;
Sant Pere Pescador;Comarca;724;1;Alt Empordà;
Sant Pere Pescador;Codi;724;2;171788;
Sant Pere Pescador;Altitud (m);724;3;5;
Sant Pere Pescador;Superfície (km²);724;4;18,45;
Sant Pere Pescador;Població;724;5;2285;
Sant Pere Sallavinera;Comarca;725;1;Anoia;
Sant Pere Sallavinera;Codi;725;2;81897;
Sant Pere Sallavinera;Altitud (m);725;3;588;
Sant Pere Sallavinera;Superfície (km²);725;4;22,02;
Sant Pere Sallavinera;Població;725;5;177;
Sant Pol de Mar;Comarca;726;1;Maresme;
Sant Pol de Mar;Codi;726;2;82359;
Sant Pol de Mar;Altitud (m);726;3;15;
Sant Pol de Mar;Superfície (km²);726;4;7,53;
Sant Pol de Mar;Població;726;5;5778;
Sant Quintí de Mediona;Comarca;727;1;Alt Penedès;
Sant Quintí de Mediona;Codi;727;2;82362;
Sant Quintí de Mediona;Altitud (m);727;3;326;
Sant Quintí de Mediona;Superfície (km²);727;4;13,84;
Sant Quintí de Mediona;Població;727;5;2585;
Sant Quirze de Besora;Comarca;728;1;Osona;
Sant Quirze de Besora;Codi;728;2;82378;
Sant Quirze de Besora;Altitud (m);728;3;587;
Sant Quirze de Besora;Superfície (km²);728;4;8,12;
Sant Quirze de Besora;Població;728;5;2163;
Sant Quirze del Vallès;Comarca;729;1;Vallès Occidental;
Sant Quirze del Vallès;Codi;729;2;82384;
Sant Quirze del Vallès;Altitud (m);729;3;188;
Sant Quirze del Vallès;Superfície (km²);729;4;14,07;
Sant Quirze del Vallès;Població;729;5;20175;
Sant Quirze Safaja;Comarca;730;1;Moianès;
Sant Quirze Safaja;Codi;730;2;82397;
Sant Quirze Safaja;Altitud (m);730;3;627;
Sant Quirze Safaja;Superfície (km²);730;4;26,21;
Sant Quirze Safaja;Població;730;5;664;
Sant Ramon;Comarca;731;1;Segarra;
Sant Ramon;Codi;731;2;251945;
Sant Ramon;Altitud (m);731;3;641;
Sant Ramon;Superfície (km²);731;4;18,53;
Sant Ramon;Població;731;5;483;
Sant Sadurní d'Anoia;Comarca;732;1;Alt Penedès;
Sant Sadurní d'Anoia;Codi;732;2;82401;
Sant Sadurní d'Anoia;Altitud (m);732;3;162;
Sant Sadurní d'Anoia;Superfície (km²);732;4;18,96;
Sant Sadurní d'Anoia;Població;732;5;12930;
Sant Sadurní d'Osormort;Comarca;733;1;Osona;
Sant Sadurní d'Osormort;Codi;733;2;82418;
Sant Sadurní d'Osormort;Altitud (m);733;3;531;
Sant Sadurní d'Osormort;Superfície (km²);733;4;30,6;
Sant Sadurní d'Osormort;Població;733;5;86;
Sant Salvador de Guardiola;Comarca;734;1;Bages;
Sant Salvador de Guardiola;Codi;734;2;80983;
Sant Salvador de Guardiola;Altitud (m);734;3;334;
Sant Salvador de Guardiola;Superfície (km²);734;4;37,15;
Sant Salvador de Guardiola;Població;734;5;3596;
Sant Vicenç de Castellet;Comarca;735;1;Bages;
Sant Vicenç de Castellet;Codi;735;2;82628;
Sant Vicenç de Castellet;Altitud (m);735;3;176;
Sant Vicenç de Castellet;Superfície (km²);735;4;17,13;
Sant Vicenç de Castellet;Població;735;5;10167;
Sant Vicenç de Montalt;Comarca;736;1;Maresme;
Sant Vicenç de Montalt;Codi;736;2;82649;
Sant Vicenç de Montalt;Altitud (m);736;3;143;
Sant Vicenç de Montalt;Superfície (km²);736;4;8,05;
Sant Vicenç de Montalt;Població;736;5;6829;
Sant Vicenç de Torelló;Comarca;737;1;Osona;
Sant Vicenç de Torelló;Codi;737;2;82652;
Sant Vicenç de Torelló;Altitud (m);737;3;555;
Sant Vicenç de Torelló;Superfície (km²);737;4;7,04;
Sant Vicenç de Torelló;Població;737;5;2118;
Sant Vicenç dels Horts;Comarca;738;1;Baix Llobregat;
Sant Vicenç dels Horts;Codi;738;2;82634;
Sant Vicenç dels Horts;Altitud (m);738;3;22;
Sant Vicenç dels Horts;Superfície (km²);738;4;9,12;
Sant Vicenç dels Horts;Població;738;5;28760;
Santa Bàrbara;Comarca;739;1;Montsià;
Santa Bàrbara;Codi;739;2;431384;
Santa Bàrbara;Altitud (m);739;3;79;
Santa Bàrbara;Superfície (km²);739;4;28,15;
Santa Bàrbara;Població;739;5;3866;
Santa Cecília de Voltregà;Comarca;740;1;Osona;
Santa Cecília de Voltregà;Codi;740;2;82439;
Santa Cecília de Voltregà;Altitud (m);740;3;519;
Santa Cecília de Voltregà;Superfície (km²);740;4;8,63;
Santa Cecília de Voltregà;Població;740;5;197;
Santa Coloma de Cervelló;Comarca;741;1;Baix Llobregat;
Santa Coloma de Cervelló;Codi;741;2;82444;
Santa Coloma de Cervelló;Altitud (m);741;3;73;
Santa Coloma de Cervelló;Superfície (km²);741;4;7,49;
Santa Coloma de Cervelló;Població;741;5;8275;
Santa Coloma de Farners;Comarca;742;1;Selva;
Santa Coloma de Farners;Codi;742;2;171805;
Santa Coloma de Farners;Altitud (m);742;3;142;
Santa Coloma de Farners;Superfície (km²);742;4;70,64;
Santa Coloma de Farners;Població;742;5;14218;
Santa Coloma de Gramenet;Comarca;743;1;Barcelonès;
Santa Coloma de Gramenet;Codi;743;2;82457;
Santa Coloma de Gramenet;Altitud (m);743;3;56;
Santa Coloma de Gramenet;Superfície (km²);743;4;7;
Santa Coloma de Gramenet;Població;743;5;123250;
Santa Coloma de Queralt;Comarca;744;1;Conca de Barberà;
Santa Coloma de Queralt;Codi;744;2;431397;
Santa Coloma de Queralt;Altitud (m);744;3;674;
Santa Coloma de Queralt;Superfície (km²);744;4;33,85;
Santa Coloma de Queralt;Població;744;5;2832;
Santa Cristina d'Aro;Comarca;745;1;Baix Empordà;
Santa Cristina d'Aro;Codi;745;2;171812;
Santa Cristina d'Aro;Altitud (m);745;3;30;
Santa Cristina d'Aro;Superfície (km²);745;4;67,55;
Santa Cristina d'Aro;Població;745;5;5972;
Santa Eugènia de Berga;Comarca;746;1;Osona;
Santa Eugènia de Berga;Codi;746;2;82460;
Santa Eugènia de Berga;Altitud (m);746;3;538;
Santa Eugènia de Berga;Superfície (km²);746;4;7,01;
Santa Eugènia de Berga;Població;746;5;2350;
Santa Eulàlia de Riuprimer;Comarca;747;1;Osona;
Santa Eulàlia de Riuprimer;Codi;747;2;82476;
Santa Eulàlia de Riuprimer;Altitud (m);747;3;568;
Santa Eulàlia de Riuprimer;Superfície (km²);747;4;13,82;
Santa Eulàlia de Riuprimer;Població;747;5;1516;
Santa Eulàlia de Ronçana;Comarca;748;1;Vallès Oriental;
Santa Eulàlia de Ronçana;Codi;748;2;82482;
Santa Eulàlia de Ronçana;Altitud (m);748;3;236;
Santa Eulàlia de Ronçana;Superfície (km²);748;4;14,23;
Santa Eulàlia de Ronçana;Població;748;5;7955;
Santa Fe del Penedès;Comarca;749;1;Alt Penedès;
Santa Fe del Penedès;Codi;749;2;82495;
Santa Fe del Penedès;Altitud (m);749;3;240;
Santa Fe del Penedès;Superfície (km²);749;4;3,41;
Santa Fe del Penedès;Població;749;5;367;
Santa Llogaia d'Àlguema;Comarca;750;1;Alt Empordà;
Santa Llogaia d'Àlguema;Codi;750;2;171827;
Santa Llogaia d'Àlguema;Altitud (m);750;3;42;
Santa Llogaia d'Àlguema;Superfície (km²);750;4;1,94;
Santa Llogaia d'Àlguema;Població;750;5;400;
Santa Margarida de Montbui;Comarca;751;1;Anoia;
Santa Margarida de Montbui;Codi;751;2;82508;
Santa Margarida de Montbui;Altitud (m);751;3;316;
Santa Margarida de Montbui;Superfície (km²);751;4;27,59;
Santa Margarida de Montbui;Població;751;5;10601;
Santa Margarida i els Monjos;Comarca;752;1;Alt Penedès;
Santa Margarida i els Monjos;Codi;752;2;82515;
Santa Margarida i els Monjos;Altitud (m);752;3;161;
Santa Margarida i els Monjos;Superfície (km²);752;4;17,16;
Santa Margarida i els Monjos;Població;752;5;7775;
Santa Maria d'Oló;Comarca;753;1;Moianès;
Santa Maria d'Oló;Codi;753;2;82589;
Santa Maria d'Oló;Altitud (m);753;3;542;
Santa Maria d'Oló;Superfície (km²);753;4;66,21;
Santa Maria d'Oló;Població;753;5;1100;
Santa Maria de Besora;Comarca;754;1;Osona;
Santa Maria de Besora;Codi;754;2;82536;
Santa Maria de Besora;Altitud (m);754;3;866;
Santa Maria de Besora;Superfície (km²);754;4;24,73;
Santa Maria de Besora;Població;754;5;164;
Santa Maria de Martorelles;Comarca;755;1;Vallès Oriental;
Santa Maria de Martorelles;Codi;755;2;82567;
Santa Maria de Martorelles;Altitud (m);755;3;181;
Santa Maria de Martorelles;Superfície (km²);755;4;4,51;
Santa Maria de Martorelles;Població;755;5;867;
Santa Maria de Merlès;Comarca;756;1;Berguedà;
Santa Maria de Merlès;Codi;756;2;82554;
Santa Maria de Merlès;Altitud (m);756;3;532;
Santa Maria de Merlès;Superfície (km²);756;4;52,08;
Santa Maria de Merlès;Població;756;5;179;
Santa Maria de Miralles;Comarca;757;1;Anoia;
Santa Maria de Miralles;Codi;757;2;82573;
Santa Maria de Miralles;Altitud (m);757;3;543;
Santa Maria de Miralles;Superfície (km²);757;4;25,04;
Santa Maria de Miralles;Població;757;5;144;
Santa Maria de Palautordera;Comarca;758;1;Vallès Oriental;
Santa Maria de Palautordera;Codi;758;2;82592;
Santa Maria de Palautordera;Altitud (m);758;3;208;
Santa Maria de Palautordera;Superfície (km²);758;4;16,94;
Santa Maria de Palautordera;Població;758;5;10060;
Santa Oliva;Comarca;759;1;Baix Penedès;
Santa Oliva;Codi;759;2;431401;
Santa Oliva;Altitud (m);759;3;101;
Santa Oliva;Superfície (km²);759;4;9,65;
Santa Oliva;Població;759;5;3711;
Santa Pau;Comarca;760;1;Garrotxa;
Santa Pau;Codi;760;2;171848;
Santa Pau;Altitud (m);760;3;496;
Santa Pau;Superfície (km²);760;4;49,01;
Santa Pau;Població;760;5;1578;
Santa Perpètua de Mogoda;Comarca;761;1;Vallès Occidental;
Santa Perpètua de Mogoda;Codi;761;2;82606;
Santa Perpètua de Mogoda;Altitud (m);761;3;74;
Santa Perpètua de Mogoda;Superfície (km²);761;4;15,83;
Santa Perpètua de Mogoda;Població;761;5;26101;
Santa Susanna;Comarca;762;1;Maresme;
Santa Susanna;Codi;762;2;82613;
Santa Susanna;Altitud (m);762;3;10;
Santa Susanna;Superfície (km²);762;4;12,63;
Santa Susanna;Població;762;5;4049;
Santpedor;Comarca;763;1;Bages;
Santpedor;Codi;763;2;81923;
Santpedor;Altitud (m);763;3;336;
Santpedor;Superfície (km²);763;4;16,5;
Santpedor;Població;763;5;7739;
Sarral;Comarca;764;1;Conca de Barberà;
Sarral;Codi;764;2;431423;
Sarral;Altitud (m);764;3;467;
Sarral;Superfície (km²);764;4;52,39;
Sarral;Població;764;5;1647;
Sarrià de Ter;Comarca;765;1;Gironès;
Sarrià de Ter;Codi;765;2;171864;
Sarrià de Ter;Altitud (m);765;3;70;
Sarrià de Ter;Superfície (km²);765;4;4,16;
Sarrià de Ter;Població;765;5;5404;
Sarroca de Bellera;Comarca;766;1;Pallars Jussà;
Sarroca de Bellera;Codi;766;2;252017;
Sarroca de Bellera;Altitud (m);766;3;1002;
Sarroca de Bellera;Superfície (km²);766;4;87,51;
Sarroca de Bellera;Població;766;5;111;
Sarroca de Lleida;Comarca;767;1;Segrià;
Sarroca de Lleida;Codi;767;2;252000;
Sarroca de Lleida;Altitud (m);767;3;201;
Sarroca de Lleida;Superfície (km²);767;4;42,18;
Sarroca de Lleida;Població;767;5;383;
Saus, Camallera i Llampaies;Comarca;768;1;Alt Empordà;
Saus, Camallera i Llampaies;Codi;768;2;171870;
Saus, Camallera i Llampaies;Altitud (m);768;3;86;
Saus, Camallera i Llampaies;Superfície (km²);768;4;11,36;
Saus, Camallera i Llampaies;Població;768;5;908;
Savallà del Comtat;Comarca;769;1;Conca de Barberà;
Savallà del Comtat;Codi;769;2;431439;
Savallà del Comtat;Altitud (m);769;3;825;
Savallà del Comtat;Superfície (km²);769;4;14,8;
Savallà del Comtat;Població;769;5;49;
Secuita, la;Comarca;770;1;Tarragonès;
Secuita, la;Codi;770;2;431444;
Secuita, la;Altitud (m);770;3;169;
Secuita, la;Superfície (km²);770;4;17,77;
Secuita, la;Població;770;5;1848;
Selva de Mar, la;Comarca;771;1;Alt Empordà;
Selva de Mar, la;Codi;771;2;171886;
Selva de Mar, la;Altitud (m);771;3;48;
Selva de Mar, la;Superfície (km²);771;4;7,19;
Selva de Mar, la;Població;771;5;223;
Selva del Camp, la;Comarca;772;1;Baix Camp;
Selva del Camp, la;Codi;772;2;431457;
Selva del Camp, la;Altitud (m);772;3;246;
Selva del Camp, la;Superfície (km²);772;4;35,31;
Selva del Camp, la;Població;772;5;5751;
Senan;Comarca;773;1;Conca de Barberà;
Senan;Codi;773;2;431460;
Senan;Altitud (m);773;3;652;
Senan;Superfície (km²);773;4;11,7;
Senan;Població;773;5;47;
Sénia, la;Comarca;774;1;Montsià;
Sénia, la;Codi;774;2;430445;
Sénia, la;Altitud (m);774;3;369;
Sénia, la;Superfície (km²);774;4;108,41;
Sénia, la;Població;774;5;5605;
Senterada;Comarca;775;1;Pallars Jussà;
Senterada;Codi;775;2;252022;
Senterada;Altitud (m);775;3;729;
Senterada;Superfície (km²);775;4;34,45;
Senterada;Població;775;5;161;
Sentiu de Sió, la;Comarca;776;1;Noguera;
Sentiu de Sió, la;Codi;776;2;250352;
Sentiu de Sió, la;Altitud (m);776;3;281;
Sentiu de Sió, la;Superfície (km²);776;4;29,62;
Sentiu de Sió, la;Població;776;5;448;
Sentmenat;Comarca;777;1;Vallès Occidental;
Sentmenat;Codi;777;2;82671;
Sentmenat;Altitud (m);777;3;207;
Sentmenat;Superfície (km²);777;4;28,8;
Sentmenat;Població;777;5;9528;
Serinyà;Comarca;778;1;Pla de l'Estany;
Serinyà;Codi;778;2;171903;
Serinyà;Altitud (m);778;3;188;
Serinyà;Superfície (km²);778;4;17,38;
Serinyà;Població;778;5;1227;
Seròs;Comarca;779;1;Segrià;
Seròs;Codi;779;2;252043;
Seròs;Altitud (m);779;3;103;
Seròs;Superfície (km²);779;4;85,75;
Seròs;Població;779;5;1922;
Serra de Daró;Comarca;780;1;Baix Empordà;
Serra de Daró;Codi;780;2;171910;
Serra de Daró;Altitud (m);780;3;15;
Serra de Daró;Superfície (km²);780;4;7,91;
Serra de Daró;Població;780;5;241;
Setcases;Comarca;781;1;Ripollès;
Setcases;Codi;781;2;171925;
Setcases;Altitud (m);781;3;1265;
Setcases;Superfície (km²);781;4;49,12;
Setcases;Població;781;5;196;
Seu d'Urgell, la;Comarca;782;1;Alt Urgell;
Seu d'Urgell, la;Codi;782;2;252038;
Seu d'Urgell, la;Altitud (m);782;3;691;
Seu d'Urgell, la;Superfície (km²);782;4;15,45;
Seu d'Urgell, la;Població;782;5;13003;
Seva;Comarca;783;1;Osona;
Seva;Codi;783;2;82690;
Seva;Altitud (m);783;3;663;
Seva;Superfície (km²);783;4;30,4;
Seva;Població;783;5;3818;
Sidamon;Comarca;784;1;Pla d'Urgell;
Sidamon;Codi;784;2;252056;
Sidamon;Altitud (m);784;3;232;
Sidamon;Superfície (km²);784;4;8,12;
Sidamon;Població;784;5;757;
Sils;Comarca;785;1;Selva;
Sils;Codi;785;2;171931;
Sils;Altitud (m);785;3;76;
Sils;Superfície (km²);785;4;29,91;
Sils;Població;785;5;6924;
Sitges;Comarca;786;1;Garraf;
Sitges;Codi;786;2;82704;
Sitges;Altitud (m);786;3;10;
Sitges;Superfície (km²);786;4;43,85;
Sitges;Població;786;5;32690;
Siurana;Comarca;787;1;Alt Empordà;
Siurana;Codi;787;2;170524;
Siurana;Altitud (m);787;3;33;
Siurana;Superfície (km²);787;4;10,53;
Siurana;Població;787;5;188;
Sobremunt;Comarca;788;1;Lluçanès;
Sobremunt;Codi;788;2;82711;
Sobremunt;Altitud (m);788;3;881;
Sobremunt;Superfície (km²);788;4;13,8;
Sobremunt;Població;788;5;89;
Soleràs, el;Comarca;789;1;Garrigues;
Soleràs, el;Codi;789;2;252069;
Soleràs, el;Altitud (m);789;3;381;
Soleràs, el;Superfície (km²);789;4;12,23;
Soleràs, el;Població;789;5;313;
Solivella;Comarca;790;1;Conca de Barberà;
Solivella;Codi;790;2;431476;
Solivella;Altitud (m);790;3;489;
Solivella;Superfície (km²);790;4;21,37;
Solivella;Població;790;5;639;
Solsona;Comarca;791;1;Solsonès;
Solsona;Codi;791;2;252075;
Solsona;Altitud (m);791;3;664;
Solsona;Superfície (km²);791;4;17,7;
Solsona;Població;791;5;9741;
Sora;Comarca;792;1;Osona;
Sora;Codi;792;2;82726;
Sora;Altitud (m);792;3;716;
Sora;Superfície (km²);792;4;31,71;
Sora;Població;792;5;225;
Soriguera;Comarca;793;1;Pallars Sobirà;
Soriguera;Codi;793;2;252081;
Soriguera;Altitud (m);793;3;1258;
Soriguera;Superfície (km²);793;4;106,39;
Soriguera;Població;793;5;449;
Sort;Comarca;794;1;Pallars Sobirà;
Sort;Codi;794;2;252094;
Sort;Altitud (m);794;3;692;
Sort;Superfície (km²);794;4;105,05;
Sort;Població;794;5;2287;
Soses;Comarca;795;1;Segrià;
Soses;Codi;795;2;252108;
Soses;Altitud (m);795;3;118;
Soses;Superfície (km²);795;4;30,16;
Soses;Població;795;5;1884;
Subirats;Comarca;796;1;Alt Penedès;
Subirats;Codi;796;2;82732;
Subirats;Altitud (m);796;3;243;
Subirats;Superfície (km²);796;4;55,89;
Subirats;Població;796;5;3287;
Sudanell;Comarca;797;1;Segrià;
Sudanell;Codi;797;2;252115;
Sudanell;Altitud (m);797;3;152;
Sudanell;Superfície (km²);797;4;8,69;
Sudanell;Població;797;5;920;
Sunyer;Comarca;798;1;Segrià;
Sunyer;Codi;798;2;252120;
Sunyer;Altitud (m);798;3;211;
Sunyer;Superfície (km²);798;4;12,66;
Sunyer;Població;798;5;310;
Súria;Comarca;799;1;Bages;
Súria;Codi;799;2;82747;
Súria;Altitud (m);799;3;326;
Súria;Superfície (km²);799;4;23,6;
Súria;Població;799;5;6196;
Susqueda;Comarca;800;1;Selva;
Susqueda;Codi;800;2;171946;
Susqueda;Altitud (m);800;3;816;
Susqueda;Superfície (km²);800;4;50,61;
Susqueda;Població;800;5;103;
Tagamanent;Comarca;801;1;Vallès Oriental;
Tagamanent;Codi;801;2;82763;
Tagamanent;Altitud (m);801;3;354;
Tagamanent;Superfície (km²);801;4;43,31;
Tagamanent;Població;801;5;329;
Talamanca;Comarca;802;1;Bages;
Talamanca;Codi;802;2;82779;
Talamanca;Altitud (m);802;3;552;
Talamanca;Superfície (km²);802;4;29,43;
Talamanca;Població;802;5;209;
Talarn;Comarca;803;1;Pallars Jussà;
Talarn;Codi;803;2;252154;
Talarn;Altitud (m);803;3;572;
Talarn;Superfície (km²);803;4;27,95;
Talarn;Població;803;5;559;
Talavera;Comarca;804;1;Segarra;
Talavera;Codi;804;2;252167;
Talavera;Altitud (m);804;3;791;
Talavera;Superfície (km²);804;4;30,11;
Talavera;Població;804;5;281;
Tallada d'Empordà, la;Comarca;805;1;Baix Empordà;
Tallada d'Empordà, la;Codi;805;2;171959;
Tallada d'Empordà, la;Altitud (m);805;3;20;
Tallada d'Empordà, la;Superfície (km²);805;4;16,56;
Tallada d'Empordà, la;Població;805;5;485;
Taradell;Comarca;806;1;Osona;
Taradell;Codi;806;2;82785;
Taradell;Altitud (m);806;3;623;
Taradell;Superfície (km²);806;4;26,48;
Taradell;Població;806;5;6838;
Tarragona;Comarca;807;1;Tarragonès;
Tarragona;Codi;807;2;431482;
Tarragona;Altitud (m);807;3;68;
Tarragona;Superfície (km²);807;4;57,89;
Tarragona;Població;807;5;143260;
Tàrrega;Comarca;808;1;Urgell;
Tàrrega;Codi;808;2;252173;
Tàrrega;Altitud (m);808;3;373;
Tàrrega;Superfície (km²);808;4;88,36;
Tàrrega;Població;808;5;18991;
Tarrés;Comarca;809;1;Garrigues;
Tarrés;Codi;809;2;252189;
Tarrés;Altitud (m);809;3;578;
Tarrés;Superfície (km²);809;4;13,01;
Tarrés;Població;809;5;125;
Tarroja de Segarra;Comarca;810;1;Segarra;
Tarroja de Segarra;Codi;810;2;252192;
Tarroja de Segarra;Altitud (m);810;3;460;
Tarroja de Segarra;Superfície (km²);810;4;7,61;
Tarroja de Segarra;Població;810;5;163;
Tavèrnoles;Comarca;811;1;Osona;
Tavèrnoles;Codi;811;2;82750;
Tavèrnoles;Altitud (m);811;3;537;
Tavèrnoles;Superfície (km²);811;4;18,78;
Tavèrnoles;Població;811;5;354;
Tavertet;Comarca;812;1;Osona;
Tavertet;Codi;812;2;82802;
Tavertet;Altitud (m);812;3;869;
Tavertet;Superfície (km²);812;4;32,49;
Tavertet;Població;812;5;128;
Teià;Comarca;813;1;Maresme;
Teià;Codi;813;2;82819;
Teià;Altitud (m);813;3;128;
Teià;Superfície (km²);813;4;6,63;
Teià;Població;813;5;6894;
Térmens;Comarca;814;1;Noguera;
Térmens;Codi;814;2;252206;
Térmens;Altitud (m);814;3;208;
Térmens;Superfície (km²);814;4;27,54;
Térmens;Població;814;5;1345;
Terrades;Comarca;815;1;Alt Empordà;
Terrades;Codi;815;2;171962;
Terrades;Altitud (m);815;3;228;
Terrades;Superfície (km²);815;4;20,96;
Terrades;Població;815;5;337;
Terrassa;Comarca;816;1;Vallès Occidental;
Terrassa;Codi;816;2;82798;
Terrassa;Altitud (m);816;3;277;
Terrassa;Superfície (km²);816;4;70,16;
Terrassa;Població;816;5;232676;
Tiana;Comarca;817;1;Maresme;
Tiana;Codi;817;2;82824;
Tiana;Altitud (m);817;3;136;
Tiana;Superfície (km²);817;4;7,95;
Tiana;Població;817;5;9362;
Tírvia;Comarca;818;1;Pallars Sobirà;
Tírvia;Codi;818;2;252213;
Tírvia;Altitud (m);818;3;991;
Tírvia;Superfície (km²);818;4;8,5;
Tírvia;Població;818;5;139;
Tiurana;Comarca;819;1;Noguera;
Tiurana;Codi;819;2;252228;
Tiurana;Altitud (m);819;3;387;
Tiurana;Superfície (km²);819;4;15,86;
Tiurana;Població;819;5;69;
Tivenys;Comarca;820;1;Baix Ebre;
Tivenys;Codi;820;2;431495;
Tivenys;Altitud (m);820;3;13;
Tivenys;Superfície (km²);820;4;53,54;
Tivenys;Població;820;5;952;
Tivissa;Comarca;821;1;Ribera d'Ebre;
Tivissa;Codi;821;2;431508;
Tivissa;Altitud (m);821;3;309;
Tivissa;Superfície (km²);821;4;209,43;
Tivissa;Població;821;5;1657;
Tona;Comarca;822;1;Osona;
Tona;Codi;822;2;82830;
Tona;Altitud (m);822;3;596;
Tona;Superfície (km²);822;4;16,54;
Tona;Població;822;5;8513;
Torà;Comarca;823;1;Solsonès;
Torà;Codi;823;2;252234;
Torà;Altitud (m);823;3;448;
Torà;Superfície (km²);823;4;93,31;
Torà;Població;823;5;1230;
Tordera;Comarca;824;1;Maresme;
Tordera;Codi;824;2;82845;
Tordera;Altitud (m);824;3;34;
Tordera;Superfície (km²);824;4;83,97;
Tordera;Població;824;5;19047;
Torelló;Comarca;825;1;Osona;
Torelló;Codi;825;2;82858;
Torelló;Altitud (m);825;3;508;
Torelló;Superfície (km²);825;4;13;
Torelló;Població;825;5;15334;
Torms, els;Comarca;826;1;Garrigues;
Torms, els;Codi;826;2;252249;
Torms, els;Altitud (m);826;3;476;
Torms, els;Superfície (km²);826;4;13,75;
Torms, els;Població;826;5;135;
Tornabous;Comarca;827;1;Urgell;
Tornabous;Codi;827;2;252252;
Tornabous;Altitud (m);827;3;289;
Tornabous;Superfície (km²);827;4;24,17;
Tornabous;Població;827;5;828;
Torre de Cabdella, la;Comarca;828;1;Pallars Jussà;
Torre de Cabdella, la;Codi;828;2;252271;
Torre de Cabdella, la;Altitud (m);828;3;1075;
Torre de Cabdella, la;Superfície (km²);828;4;165,27;
Torre de Cabdella, la;Població;828;5;760;
Torre de Claramunt, la;Comarca;829;1;Anoia;
Torre de Claramunt, la;Codi;829;2;82861;
Torre de Claramunt, la;Altitud (m);829;3;363;
Torre de Claramunt, la;Superfície (km²);829;4;15,02;
Torre de Claramunt, la;Població;829;5;4154;
Torre de Fontaubella, la;Comarca;830;1;Priorat;
Torre de Fontaubella, la;Codi;830;2;431515;
Torre de Fontaubella, la;Altitud (m);830;3;369;
Torre de Fontaubella, la;Superfície (km²);830;4;7,11;
Torre de Fontaubella, la;Població;830;5;120;
Torre de l'Espanyol, la;Comarca;831;1;Ribera d'Ebre;
Torre de l'Espanyol, la;Codi;831;2;431520;
Torre de l'Espanyol, la;Altitud (m);831;3;164;
Torre de l'Espanyol, la;Superfície (km²);831;4;27,9;
Torre de l'Espanyol, la;Població;831;5;642;
Torrebesses;Comarca;832;1;Segrià;
Torrebesses;Codi;832;2;252265;
Torrebesses;Altitud (m);832;3;287;
Torrebesses;Superfície (km²);832;4;27,45;
Torrebesses;Població;832;5;280;
Torredembarra;Comarca;833;1;Tarragonès;
Torredembarra;Codi;833;2;431536;
Torredembarra;Altitud (m);833;3;15;
Torredembarra;Superfície (km²);833;4;8,71;
Torredembarra;Població;833;5;18190;
Torrefarrera;Comarca;834;1;Segrià;
Torrefarrera;Codi;834;2;252287;
Torrefarrera;Altitud (m);834;3;214;
Torrefarrera;Superfície (km²);834;4;23,49;
Torrefarrera;Població;834;5;4950;
Torrefeta i Florejacs;Comarca;835;1;Segarra;
Torrefeta i Florejacs;Codi;835;2;259078;
Torrefeta i Florejacs;Altitud (m);835;3;475;
Torrefeta i Florejacs;Superfície (km²);835;4;88,91;
Torrefeta i Florejacs;Població;835;5;593;
Torregrossa;Comarca;836;1;Pla d'Urgell;
Torregrossa;Codi;836;2;252304;
Torregrossa;Altitud (m);836;3;232;
Torregrossa;Superfície (km²);836;4;40,52;
Torregrossa;Població;836;5;2285;
Torrelameu;Comarca;837;1;Noguera;
Torrelameu;Codi;837;2;252311;
Torrelameu;Altitud (m);837;3;201;
Torrelameu;Superfície (km²);837;4;10,93;
Torrelameu;Població;837;5;816;
Torrelavit;Comarca;838;1;Alt Penedès;
Torrelavit;Codi;838;2;82877;
Torrelavit;Altitud (m);838;3;202;
Torrelavit;Superfície (km²);838;4;23,65;
Torrelavit;Població;838;5;1575;
Torrelles de Foix;Comarca;839;1;Alt Penedès;
Torrelles de Foix;Codi;839;2;82883;
Torrelles de Foix;Altitud (m);839;3;367;
Torrelles de Foix;Superfície (km²);839;4;36,72;
Torrelles de Foix;Població;839;5;2751;
Torrelles de Llobregat;Comarca;840;1;Baix Llobregat;
Torrelles de Llobregat;Codi;840;2;82896;
Torrelles de Llobregat;Altitud (m);840;3;126;
Torrelles de Llobregat;Superfície (km²);840;4;13,56;
Torrelles de Llobregat;Població;840;5;6162;
Torrent;Comarca;841;1;Baix Empordà;
Torrent;Codi;841;2;171978;
