concepte,any,municipi,renda familiar disponible bruta,renda familiar disponible bruta,renda familiar disponible bruta
indicador,,,per habitant (índex Catalunya=100),per habitant (€),valor (milers €)
321,2001.0,"Seu d'Urgell, la",100.0,12200.0,137703.0
322,2001.0,Sitges,117.8,14400.0,300209.0
323,2001.0,Solsona,109.5,13400.0,101775.0
324,2001.0,Sort,144.6,17700.0,32912.0
325,2001.0,"Sénia, la",87.4,10700.0,58183.0
326,2001.0,Súria,88.9,10900.0,66728.0
327,2001.0,Taradell,98.8,12100.0,63390.0
328,2001.0,Tarragona,106.8,13100.0,1516715.0
329,2001.0,Teià,152.9,18700.0,102661.0
330,2001.0,Terrassa,88.4,10800.0,1912987.0
331,2001.0,Tiana,126.3,15400.0,93944.0
332,2001.0,Tona,96.1,11700.0,71345.0
333,2001.0,Tordera,83.7,10200.0,104499.0
334,2001.0,Torelló,95.1,11600.0,143686.0
335,2001.0,Torredembarra,103.0,12600.0,142790.0
336,2001.0,Torroella de Montgrí,107.4,13100.0,116292.0
337,2001.0,Tortosa,99.4,12200.0,366109.0
338,2001.0,Tremp,115.5,14100.0,75926.0
339,2001.0,Tàrrega,116.7,14300.0,185053.0
340,2001.0,Ulldecona,88.1,10800.0,61998.0
341,2001.0,Vallirana,97.0,11900.0,117810.0
342,2001.0,Valls,104.4,12800.0,265499.0
343,2001.0,"Vendrell, el",105.4,12900.0,314146.0
344,2001.0,Vic,98.6,12000.0,401347.0
345,2001.0,Vielha e Mijaran,141.5,17300.0,74238.0
346,2001.0,Vila-seca,89.4,10900.0,149299.0
347,2001.0,Viladecans,77.3,9400.0,544626.0
348,2001.0,Viladecavalls,95.5,11700.0,71980.0
349,2001.0,Vilafranca del Penedès,95.3,11700.0,365513.0
350,2001.0,Vilanova del Camí,77.2,9400.0,98027.0
351,2001.0,Vilanova i la Geltrú,91.3,11200.0,605240.0
352,2001.0,Vilassar de Dalt,116.1,14200.0,108129.0
353,2001.0,Vilassar de Mar,114.5,14000.0,245423.0
354,2002.0,Abrera,85.5,11100.0,99936.0
355,2002.0,Agramunt,103.3,13400.0,68121.0
356,2002.0,Alcanar,89.8,11700.0,100015.0
357,2002.0,Alella,142.7,18500.0,163622.0
358,2002.0,Almacelles,109.5,14200.0,81488.0
359,2002.0,"Ametlla de Mar, l'",98.5,12800.0,70721.0
360,2002.0,"Ametlla del Vallès, l'",143.6,18700.0,122160.0
361,2002.0,Amposta,95.2,12400.0,217327.0
362,2002.0,Anglès,100.7,13100.0,65903.0
363,2002.0,Arbúcies,105.8,13800.0,75752.0
364,2002.0,Arenys de Mar,91.2,11900.0,157293.0
365,2002.0,Arenys de Munt,94.3,12300.0,84630.0
366,2002.0,Argentona,103.0,13400.0,136223.0
367,2002.0,Badalona,77.2,10000.0,2132374.0
368,2002.0,Badia del Vallès,61.5,8000.0,116523.0
369,2002.0,Balaguer,98.0,12700.0,177015.0
370,2002.0,Banyoles,111.4,14500.0,231981.0
371,2002.0,Barberà del Vallès,80.9,10500.0,284204.0
372,2002.0,Barcelona,109.3,14200.0,22089359.0
373,2002.0,Berga,91.7,11900.0,181467.0
374,2002.0,Bigues i Riells del Fai,108.6,14100.0,87763.0
375,2002.0,"Bisbal d'Empordà, la",108.0,14000.0,118855.0
376,2002.0,Blanes,94.5,12300.0,413963.0
377,2002.0,"Borges Blanques, les",111.5,14500.0,77404.0
378,2002.0,Cabrils,161.6,21000.0,115354.0
379,2002.0,Calafell,111.3,14500.0,220777.0
380,2002.0,Caldes de Montbui,98.9,12900.0,173862.0
381,2002.0,Calella,86.8,11300.0,168919.0
382,2002.0,Calonge i Sant Antoni,97.4,12700.0,101087.0
383,2002.0,Cambrils,106.6,13900.0,316984.0
384,2002.0,Canet de Mar,86.9,11300.0,128743.0
385,2002.0,Canovelles,76.3,9900.0,134200.0
386,2002.0,Capellades,84.1,10900.0,55516.0
387,2002.0,Cardedeu,104.8,13600.0,184098.0
388,2002.0,Cardona,94.1,12200.0,65492.0
389,2002.0,Cassà de la Selva,106.5,13800.0,111939.0
390,2002.0,"Castell d'Aro, Platja d'Aro i s'Agaró",111.7,14500.0,113180.0
391,2002.0,Castellar del Vallès,96.4,12500.0,235471.0
392,2002.0,Castellbisbal,91.1,11800.0,113335.0
393,2002.0,Castelldefels,96.5,12500.0,635826.0
394,2002.0,Castelló d'Empúries,86.3,11200.0,87985.0
395,2002.0,Centelles,97.4,12700.0,76535.0
396,2002.0,Cerdanyola del Vallès,91.9,11900.0,657954.0
397,2002.0,Cervelló,100.1,13000.0,87001.0
398,2002.0,Cervera,102.0,13300.0,109717.0
399,2002.0,Constantí,79.2,10300.0,54185.0
400,2002.0,Corbera de Llobregat,106.1,13800.0,145500.0
