,Unnamed: 0,Data d'inici,Municipis,Àmbit Territorial,Cens 2024,Percentatge població servida amb el PaP,Fraccions recollides PaP,Horari de Recollida,habitants servits amb el PaP
277,278.0,2018-11-19,ALGUAIRE,Segrià,2986.0,100.0,5 [FO+R+V+P/C+E],nocturn,2986.0
278,279.0,2018-11-19,ALMENAR,Segrià,3338.0,100.0,5 [FO+R+V+P/C+E],nocturn,3338.0
279,280.0,2018-12-10,ALCARRÀS,Segrià,10018.0,100.0,5 [FO+R+V+P/C+E],nocturn,10018.0
280,281.0,2012-11-12,SANT LLORENÇ DE MORUNYS,Solsonès,1003.0,100.0,4 [FO+R+P/C+E],diürn,1003.0
281,282.0,2018-08-01,OLIUS,Solsonès,1003.0,83.0,5 [FO+R+V+P/C+E],nocturn,83249.0
282,283.0,2020-09-29,GUIXERS,Solsonès,134.0,51.0,4 [FO+R+P/C+E],,6834.0
283,284.0,2021-11-15,SOLSONA,Solsonès,9480.0,100.0,5 [FO+R+V+P/C+E],nocturn,9480.0
284,285.0,2009-03-16,TORREDEMBARRA,Tarragonès,17984.0,12.0,5 [FO+R+V+P/C+E],nocturn,2158.08
285,286.0,2022-10-24,ALTAFULLA,Tarragonès,5838.0,5.0,5 [FO+R+V+P/C+E],diürn,29190.0
286,287.0,2002-06-10,BATEA,Terra Alta,1877.0,100.0,5 [FO+R+V+P/C+E],nocturn,1877.0
287,288.0,2004-10-04,LA FATARELLA,Terra Alta,852.0,100.0,5 [FO+R+V+P/C+E],diürn,852.0
288,289.0,2006-06-01,GANDESA,Terra Alta,3166.0,100.0,4 [FO+R+P/C+E],nocturn,3166.0
289,290.0,2009-04-01,ARNES,Terra Alta,463.0,100.0,5 [FO+R+V+P/C+E],diürn,463.0
290,291.0,2009-04-01,BOT,Terra Alta,554.0,100.0,5 [FO+R+V+P/C+E],diürn,554.0
291,292.0,2009-04-01,HORTA DE SANT JOAN,Terra Alta,1157.0,100.0,5 [FO+R+V+P/C+E],diürn,1157.0
292,293.0,2009-05-01,PRAT DE COMTE,Terra Alta,185.0,100.0,5 [FO+R+V+P/C+E],diürn,185.0
293,294.0,2009-05-04,CASERES,Terra Alta,240.0,100.0,2 [FO+R],diürn,240.0
294,295.0,2009-05-04,CORBERA D'EBRE,Terra Alta,1019.0,97.0,5 [FO+R+V+P/C+E],diürn,98843.0
295,296.0,2009-05-04,EL PINELL DE BRAI,Terra Alta,979.0,100.0,5 [FO+R+V+P/C+E],diürn,979.0
296,297.0,2009-05-04,LA POBLA DE MASSALUCA,Terra Alta,344.0,100.0,5 [FO+R+V+P/C+E],diürn,344.0
297,298.0,2009-05-04,VILALBA DELS ARCS,Terra Alta,608.0,100.0,5 [FO+R+V+P/C+E],diürn,608.0
298,299.0,2021-03-08,AGRAMUNT,Urgell,5629.0,100.0,2 [FO+R],nocturn,5629.0
