,Codi_Municipi,Municipi,Comarca,Província
355,81629,"Hostalets de Pierola, els",Anoia,Barcelona
356,170834,Hostalric,Selva,Girona/Barcelona (4)
357,81022,Igualada,Anoia,Barcelona
358,251155,Isona i Conca Dellà,Pallars Jussà,Lleida
359,170849,Isòvol,Cerdanya,Girona/Lleida (2)
360,251137,Ivars d'Urgell,Pla d'Urgell,Lleida
361,251121,Ivars de Noguera,Noguera,Lleida
362,251142,Ivorra,Segarra,Lleida
363,170852,Jafre,Baix Empordà,Girona
364,170865,"Jonquera, la",Alt Empordà,Girona
365,81038,Jorba,Anoia,Barcelona
366,259101,Josa i Tuixén,Alt Urgell,Lleida
367,170871,Juià,Gironès,Girona
368,251180,Juncosa,Garrigues,Lleida
369,251193,Juneda,Garrigues,Lleida
370,430271,La Bisbal de Montsant,Priorat,Tarragona
371,251214,Les,Aran,Lleida
372,251229,Linyola,Pla d'Urgell,Lleida
373,81043,"Llacuna, la",Anoia,Barcelona
374,251235,Lladorre,Pallars Sobirà,Lleida
375,251240,Lladurs,Solsonès,Lleida
376,170887,Lladó,Alt Empordà,Girona
377,81056,"Llagosta, la",Vallès Oriental,Barcelona
378,170890,Llagostera,Gironès,Girona
379,170904,Llambilles,Gironès,Girona
380,170911,Llanars,Ripollès,Girona
381,170926,Llançà,Alt Empordà,Girona
382,251253,Llardecans,Segrià,Lleida
383,251266,Llavorsí,Pallars Sobirà,Lleida
384,251207,Lleida,Segrià,Lleida
385,170932,Llers,Alt Empordà,Girona
386,251272,Lles de Cerdanya,Cerdanya,Girona/Lleida (2)
387,251288,Llimiana,Pallars Jussà,Lleida
388,81069,Llinars del Vallès,Vallès Oriental,Barcelona
389,81075,Lliçà d'Amunt,Vallès Oriental,Barcelona
390,81081,Lliçà de Vall,Vallès Oriental,Barcelona
391,430727,"Lloar, el",Priorat,Tarragona
392,251291,Llobera,Solsonès,Lleida
393,430733,Llorac,Conca de Barberà,Tarragona
394,430748,Llorenç del Penedès,Baix Penedès,Tarragona
395,170950,Lloret de Mar,Selva,Girona/Barcelona (4)
396,170963,"Llosses, les",Ripollès,Girona
397,81094,Lluçà,Lluçanès,Barcelona
398,170947,Llívia,Cerdanya,Girona/Lleida (2)
399,170979,Madremanya,Gironès,Girona
400,251333,Maials,Segrià,Lleida
401,170985,Maià de Montcal,Garrotxa,Girona
402,251305,Maldà,Urgell,Lleida
403,81108,Malgrat de Mar,Maresme,Barcelona
404,81115,Malla,Osona,Barcelona/Girona (3)
405,81120,Manlleu,Osona,Barcelona/Girona (3)
406,81136,Manresa,Bages,Barcelona
407,430751,Margalef,Priorat,Tarragona
408,82423,Marganell,Bages,Barcelona
409,81141,Martorell,Baix Llobregat,Barcelona
410,81154,Martorelles,Vallès Oriental,Barcelona
411,430764,Marçà,Priorat,Tarragona
412,430770,Mas de Barberans,Montsià,Tarragona
413,171002,Masarac i Vilarnadal,Alt Empordà,Girona
414,430786,Masdenverge,Montsià,Tarragona
415,81167,"Masies de Roda, les",Osona,Barcelona/Girona (3)
416,81173,"Masies de Voltregà, les",Osona,Barcelona/Girona (3)
417,430799,Masllorenç,Baix Penedès,Tarragona
418,81189,"Masnou, el",Maresme,Barcelona
419,430810,Maspujols,Baix Camp,Tarragona
420,81192,Masquefa,Anoia,Barcelona
421,430825,"Masroig, el",Priorat,Tarragona
422,251312,Massalcoreig,Segrià,Lleida
423,171019,Massanes,Selva,Girona/Barcelona (4)
424,251327,Massoteres,Segarra,Lleida
425,430803,"Masó, la",Alt Camp,Tarragona
426,81206,Matadepera,Vallès Occidental,Barcelona
427,81213,Mataró,Maresme,Barcelona
428,171024,Maçanet de Cabrenys,Alt Empordà,Girona
